month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,mean_sunshine_hrs,temp_mean_daily_max,mean_temp,wbt_mean,wbt_max,admissions,emergency,deaths
1987-01-01,127.4,16.0,568.6,4.0,28.8,25.5,23.7,25.7,,37771.0,1123.0
1987-02-01,34.8,7.0,86.9,9.2,31.6,26.6,23.8,26.0,,34188.0,1062.0
1987-03-01,40.9,12.0,132.5,6.9,32.1,27.5,25.2,27.3,,36113.0,1113.0
1987-04-01,27.7,10.0,72.5,6.2,32.6,27.9,25.6,27.5,,34127.0,1070.0
1987-05-01,81.4,16.0,270.0,5.6,31.7,27.6,25.6,27.6,,35922.0,1073.0
1987-06-01,30.7,15.0,126.6,6.8,32.4,28.7,26.0,27.9,,33988.0,1058.0
1987-07-01,21.6,11.0,80.9,6.7,31.6,28.1,25.5,27.2,,35554.0,1060.0
1987-08-01,48.2,16.0,191.9,5.1,31.1,27.4,25.2,27.2,,39126.0,1093.0
1987-09-01,44.5,11.0,129.9,5.4,31.7,27.6,25.2,27.4,,35360.0,1090.0
1987-10-01,5.9,9.0,22.6,5.8,32.5,27.9,25.4,27.6,,37763.0,1124.0
1987-11-01,77.7,17.0,347.6,4.5,31.7,27.3,25.1,27.1,,38085.0,1108.0
1987-12-01,24.3,11.0,72.8,4.8,30.4,26.4,24.4,26.4,,38663.0,1199.0
1988-01-01,69.0,15.0,237.5,5.9,30.8,26.8,24.7,26.7,,39089.0,1038.0
1988-02-01,46.7,9.0,158.1,6.7,32.0,27.1,24.9,27.3,,40199.0,1036.0
1988-03-01,70.1,15.0,186.8,5.2,31.3,27.3,25.3,27.9,,41375.0,1175.0
1988-04-01,22.8,13.0,109.6,5.4,32.4,27.8,25.7,27.9,,41136.0,1168.0
1988-05-01,76.7,14.0,229.6,5.6,32.0,28.4,26.0,28.5,,42209.0,1262.0
1988-06-01,69.4,13.0,252.2,6.5,31.8,28.0,25.5,27.8,,37870.0,1106.0
1988-07-01,75.6,15.0,305.4,6.0,31.2,27.3,25.2,27.4,,40639.0,1143.0
1988-08-01,19.0,14.0,80.1,4.9,30.8,27.0,25.0,27.5,,40830.0,1083.0
1988-09-01,187.3,14.0,440.4,4.8,31.0,27.1,25.0,27.0,,40714.0,1123.0
1988-10-01,39.8,17.0,134.6,4.1,31.5,27.5,25.2,27.4,,41664.0,1147.0
1988-11-01,111.9,23.0,401.4,3.7,30.3,26.3,24.6,26.9,,38142.0,1150.0
1988-12-01,22.0,11.0,62.9,5.7,30.4,26.2,23.7,26.1,,41895.0,1259.0
1989-01-01,53.0,10.0,189.7,5.8,30.9,26.5,24.4,26.5,,42481.0,1197.0
1989-02-01,48.4,3.0,52.4,6.7,31.8,26.6,23.7,26.0,,41588.0,1129.0
1989-03-01,63.5,21.0,305.9,4.5,31.0,26.3,24.7,27.1,,42969.0,1186.0
1989-04-01,39.0,17.0,198.6,5.7,31.8,27.0,25.2,28.0,,40887.0,1142.0
1989-05-01,38.2,12.0,194.0,5.2,31.5,27.3,25.5,28.1,,46003.0,1197.0
1989-06-01,45.9,12.0,117.6,6.0,31.7,27.5,25.2,27.5,,44277.0,1294.0
1989-07-01,33.3,12.0,157.6,6.0,31.6,27.7,25.4,27.5,,44955.0,1271.0
1989-08-01,81.4,18.0,201.0,5.3,31.0,27.1,25.0,27.3,,42422.0,1151.0
1989-09-01,102.2,14.0,247.3,5.5,30.8,26.9,24.8,27.1,,42086.0,1028.0
1989-10-01,24.9,16.0,111.0,5.5,31.3,27.1,24.9,26.8,,43240.0,1134.0
1989-11-01,148.6,20.0,508.4,5.4,31.0,26.7,24.8,27.6,,40467.0,1150.0
1989-12-01,44.2,18.0,179.7,4.8,30.2,26.3,24.4,27.0,,43059.0,1190.0
1990-01-01,73.9,13.0,147.4,5.3,30.3,26.2,24.0,26.5,,47856.0,1154.0
1990-02-01,6.6,8.0,24.1,8.9,32.4,27.6,25.0,27.0,,40161.0,1080.0
1990-03-01,48.6,4.0,94.2,8.3,33.3,28.2,25.1,27.5,,43063.0,1125.0
1990-04-01,12.0,10.0,52.4,6.3,33.4,28.5,25.9,27.9,,41081.0,1113.0
1990-05-01,153.7,11.0,180.1,6.5,32.8,28.6,25.9,28.5,,44478.0,1270.0
1990-06-01,76.1,9.0,112.6,6.3,32.4,28.3,25.7,28.0,,44424.0,1211.0
1990-07-01,44.5,12.0,124.0,5.9,31.4,27.5,25.1,27.4,,47628.0,1198.0
1990-08-01,38.3,13.0,146.6,5.8,31.4,28.0,25.6,27.6,,45546.0,1120.0
1990-09-01,44.5,17.0,204.5,5.1,31.3,27.2,25.0,27.1,,42724.0,1125.0
1990-10-01,20.2,12.0,56.4,5.9,31.8,27.5,25.2,27.3,,45610.0,1092.0
1990-11-01,46.9,17.0,180.4,4.6,31.3,27.2,25.0,27.2,,44541.0,1148.0
1990-12-01,33.5,16.0,201.1,5.5,30.2,26.3,24.5,26.8,,46459.0,1255.0
1991-01-01,36.2,13.0,123.9,5.6,30.9,26.7,24.6,26.4,,45281.0,1213.0
1991-02-01,17.9,7.0,45.5,7.0,31.8,27.1,24.6,26.9,,44007.0,1006.0
1991-03-01,48.6,10.0,92.4,7.1,32.4,27.8,25.0,27.2,,46209.0,1210.0
1991-04-01,32.2,13.0,134.2,5.8,32.3,27.7,25.6,27.7,,43660.0,1104.0
1991-05-01,44.0,23.0,256.4,5.1,31.5,27.7,25.9,28.0,,48778.0,1222.0
1991-06-01,55.6,9.0,88.7,7.1,32.2,28.6,26.0,28.1,,46693.0,1159.0
1991-07-01,10.7,8.0,37.3,6.7,32.1,28.5,25.5,27.5,,47082.0,1153.0
1991-08-01,129.9,8.0,226.2,5.3,32.2,28.2,25.4,27.5,,47971.0,1129.0
1991-09-01,53.6,12.0,123.1,4.1,31.3,27.5,25.3,27.2,,45171.0,1101.0
1991-10-01,20.4,5.0,52.0,4.2,31.8,27.5,25.0,27.4,,40983.0,1155.0
1991-11-01,75.2,19.0,205.0,3.5,30.6,26.3,24.5,26.6,,40979.0,1179.0
1991-12-01,79.4,19.0,492.3,3.0,29.1,25.6,24.4,26.7,,44688.0,1245.0
1992-01-01,56.2,9.0,83.9,6.6,30.7,26.6,24.3,26.6,,47672.0,1275.0
1992-02-01,43.2,4.0,62.4,7.7,32.1,27.5,24.8,26.7,,44641.0,1196.0
1992-03-01,35.1,6.0,67.6,7.4,33.0,28.2,25.5,27.6,,43761.0,1246.0
1992-04-01,94.7,13.0,160.3,6.4,32.9,28.4,26.0,28.0,,42644.0,1192.0
1992-05-01,13.7,13.0,63.1,5.7,32.5,28.1,25.9,27.9,,46996.0,1156.0
1992-06-01,38.4,14.0,162.8,5.5,32.0,28.0,25.7,28.0,,45302.0,1205.0
1992-07-01,97.3,19.0,290.8,4.7,30.9,27.3,25.2,27.2,,46643.0,1183.0
1992-08-01,31.0,11.0,76.1,5.7,31.4,27.8,25.2,27.2,,50365.0,1260.0
1992-09-01,17.5,13.0,83.6,5.0,31.5,27.3,25.0,27.2,,42659.0,1057.0
1992-10-01,45.5,20.0,233.2,4.5,31.4,27.4,25.0,27.2,,43389.0,1092.0
1992-11-01,120.6,18.0,474.3,3.7,30.0,26.1,24.5,26.8,,41923.0,1109.0
1992-12-01,105.7,23.0,502.7,3.4,29.2,25.5,24.3,26.5,,49344.0,1366.0
1993-01-01,37.2,11.0,176.4,5.5,29.9,26.2,24.3,27.1,,51042.0,1411.0
1993-02-01,27.0,8.0,69.2,8.5,31.4,26.7,24.1,26.2,,40611.0,1153.0
1993-03-01,56.9,14.0,250.5,5.4,30.7,26.7,24.9,27.5,,42512.0,1288.0
1993-04-01,56.7,20.0,283.9,6.4,31.9,27.6,25.5,28.0,,41673.0,1198.0
1993-05-01,37.2,10.0,129.9,6.0,31.9,28.2,25.9,27.8,,44233.0,1218.0
1993-06-01,29.4,17.0,115.5,6.2,31.9,28.5,25.8,28.2,,41630.0,1147.0
1993-07-01,46.4,15.0,240.0,5.2,31.1,27.9,25.6,27.7,,42846.0,1191.0
1993-08-01,53.5,11.0,106.8,7.4,32.1,28.6,25.7,28.0,,42913.0,1160.0
1993-09-01,42.0,7.0,61.7,5.9,31.7,27.9,25.3,27.9,,39421.0,1070.0
1993-10-01,62.7,13.0,175.5,5.2,31.6,27.5,25.4,27.5,,40681.0,1190.0
1993-11-01,61.3,18.0,250.8,4.7,30.9,26.9,25.2,27.3,,40354.0,1204.0
1993-12-01,67.6,19.0,308.5,4.2,30.3,26.5,24.9,27.7,,42640.0,1231.0
1994-01-01,17.5,7.0,56.9,6.1,30.9,26.9,24.5,26.7,,43734.0,1301.0
1994-02-01,26.3,15.0,133.5,6.4,31.6,27.0,25.0,27.4,,40041.0,1171.0
1994-03-01,64.2,19.0,288.2,3.5,30.5,26.8,25.1,27.3,,43285.0,1310.0
1994-04-01,46.3,15.0,154.0,5.8,31.9,27.9,25.8,28.3,,43237.0,1280.0
1994-05-01,45.1,16.0,169.6,5.0,31.1,28.1,26.0,28.2,,45191.0,1254.0
1994-06-01,61.1,14.0,184.7,6.0,31.3,28.1,25.8,28.2,,41156.0,1311.0
1994-07-01,17.0,6.0,53.8,7.6,31.6,28.4,25.5,27.4,,41475.0,1250.0
1994-08-01,15.5,12.0,45.1,6.5,31.9,28.1,25.4,27.5,,40310.0,1272.0
1994-09-01,11.3,6.0,23.7,3.8,31.9,28.3,25.4,27.5,,39578.0,1146.0
1994-10-01,35.4,11.0,84.7,4.5,32.1,27.9,25.3,26.9,,40993.0,1231.0
1994-11-01,178.3,21.0,322.2,4.5,30.5,26.7,25.2,27.9,,38410.0,1159.0
1994-12-01,133.8,18.0,425.4,5.3,30.7,26.9,24.9,27.2,,42527.0,1261.0
1995-01-01,108.3,21.0,349.4,5.0,30.6,26.8,25.0,27.0,,46006.0,1239.0
1995-02-01,159.3,16.0,334.0,4.9,29.9,26.5,24.8,26.9,,41550.0,1210.0
1995-03-01,31.1,10.0,67.7,5.9,31.8,27.6,25.4,28.0,,45136.0,1453.0
1995-04-01,73.6,16.0,242.3,5.6,32.0,27.9,25.9,28.1,,42611.0,1274.0
1995-05-01,32.8,11.0,84.4,6.0,32.3,28.5,26.3,28.5,,46915.0,1344.0
1995-06-01,45.0,12.0,63.7,6.6,32.7,28.9,26.3,28.4,,42181.0,1336.0
1995-07-01,52.3,13.0,173.6,5.2,31.2,28.0,25.7,27.7,,43837.0,1233.0
1995-08-01,37.9,21.0,211.6,4.1,30.6,27.4,25.5,27.4,,42011.0,1261.0
1995-09-01,5.7,7.0,29.5,5.8,32.0,28.3,25.8,28.1,,40330.0,1266.0
1995-10-01,37.1,12.0,101.1,4.7,32.1,27.8,25.5,27.8,,42663.0,1278.0
1995-11-01,198.6,20.0,372.8,3.7,31.0,27.0,25.2,27.6,,43657.0,1309.0
1995-12-01,55.6,20.0,302.5,3.1,29.5,26.3,24.5,27.0,,43235.0,1366.0
1996-01-01,39.0,10.0,173.2,5.2,30.1,26.2,24.1,27.0,,44686.0,1379.0
1996-02-01,53.0,11.0,180.2,5.8,30.2,26.5,24.4,26.7,,43252.0,1229.0
1996-03-01,61.8,8.0,129.7,7.7,32.4,27.8,25.1,27.5,,44027.0,1344.0
1996-04-01,55.7,15.0,178.2,5.4,31.7,27.8,25.8,28.4,,42447.0,1299.0
1996-05-01,18.6,15.0,107.5,7.0,32.4,28.5,26.3,28.4,,48335.0,1421.0
1996-06-01,94.3,15.0,265.8,5.9,32.0,28.3,26.1,28.2,,44903.0,1342.0
1996-07-01,55.3,10.0,162.3,6.7,31.5,28.3,25.9,27.9,,45784.0,1352.0
1996-08-01,64.6,18.0,258.4,5.0,31.4,27.4,25.2,27.5,,43942.0,1266.0
1996-09-01,66.5,18.0,297.0,4.8,31.1,27.7,25.3,28.0,,45889.0,1260.0
1996-10-01,45.8,19.0,300.0,4.3,31.2,27.5,25.2,27.2,,46042.0,1210.0
1996-11-01,60.5,16.0,180.2,4.4,31.5,27.3,25.1,27.5,,44836.0,1224.0
1996-12-01,72.4,15.0,185.5,4.5,30.7,26.6,24.3,27.2,,47690.0,1264.0
1997-01-01,13.9,3.0,15.4,7.7,31.5,27.1,24.0,26.4,,47157.0,1277.0
1997-02-01,35.7,8.0,105.4,4.9,31.9,27.4,24.8,26.8,,44219.0,1100.0
1997-03-01,17.4,10.0,34.3,7.0,32.8,28.1,25.2,27.2,,47979.0,1319.0
1997-04-01,44.6,12.0,118.4,5.6,32.5,28.1,25.7,27.9,,45982.0,1286.0
1997-05-01,35.6,6.0,41.6,6.7,33.6,29.3,26.2,28.0,,55184.0,1589.0
1997-06-01,25.0,12.0,78.9,7.3,33.2,29.3,26.0,27.9,,48460.0,1387.0
1997-07-01,5.4,9.0,18.6,6.5,32.4,28.8,25.5,27.4,,48330.0,1283.0
1997-08-01,61.4,9.0,86.6,5.7,32.6,28.8,25.7,27.6,,45849.0,1235.0
1997-09-01,24.3,3.0,31.1,3.2,32.2,28.8,25.6,27.1,,43042.0,1174.0
1997-10-01,36.5,8.0,78.4,3.2,32.4,28.2,25.6,27.4,,39803.0,1191.0
1997-11-01,53.6,13.0,158.3,5.4,32.0,27.8,25.4,27.4,,39363.0,1157.0
1997-12-01,65.8,23.0,351.9,5.3,31.3,27.3,25.4,27.7,,41810.0,1307.0
1998-01-01,79.7,13.0,268.8,7.4,31.8,28.0,25.7,28.0,,45025.0,1356.0
1998-02-01,11.9,5.0,32.5,8.9,33.1,28.9,25.9,28.2,,40017.0,1330.0
1998-03-01,20.9,7.0,58.8,7.6,34.1,29.5,26.3,28.4,,43896.0,1394.0
1998-04-01,64.9,13.0,187.7,6.7,33.1,29.2,26.7,28.8,,43608.0,1357.0
1998-05-01,83.7,18.0,370.8,5.9,33.1,29.4,26.9,29.3,,46366.0,1518.0
1998-06-01,42.8,15.0,198.8,5.3,32.4,28.6,26.1,28.6,,41214.0,1332.0
1998-07-01,55.8,18.0,259.2,5.1,31.5,28.1,25.6,28.2,,43449.0,1247.0
1998-08-01,35.5,18.0,195.0,4.6,30.9,27.5,25.5,27.4,,46296.0,1237.0
1998-09-01,52.0,17.0,258.2,4.5,31.1,27.9,25.8,28.0,,43501.0,1195.0
1998-10-01,32.4,20.0,222.7,5.0,31.9,28.0,25.6,28.0,,43083.0,1250.0
1998-11-01,57.5,11.0,107.2,4.6,31.7,27.9,25.4,27.8,,41036.0,1197.0
1998-12-01,84.4,22.0,463.4,3.1,30.4,26.6,25.1,27.7,,41323.0,1244.0
1999-01-01,52.5,19.0,193.9,3.9,30.4,26.6,25.1,27.4,,50897.0,1469.0
1999-02-01,32.1,9.0,67.4,6.7,31.3,27.2,24.9,27.4,,44903.0,1390.0
1999-03-01,52.4,16.0,181.4,4.3,31.5,27.1,25.5,28.0,,45309.0,1366.0
1999-04-01,29.2,14.0,88.5,5.8,32.5,28.3,25.9,28.3,,43348.0,1263.0
1999-05-01,42.8,13.0,157.1,5.7,31.7,28.0,25.9,28.0,,43991.0,1228.0
1999-06-01,34.5,13.0,103.4,6.0,31.8,28.2,25.7,27.9,,41457.0,1243.0
1999-07-01,51.4,11.0,225.4,6.8,31.2,27.8,25.4,27.5,,42773.0,1241.0
1999-08-01,42.4,13.0,204.0,5.7,31.0,27.5,25.4,27.2,,43628.0,1179.0
1999-09-01,41.5,13.0,125.9,6.5,31.9,27.9,25.4,27.5,,43732.0,1196.0
1999-10-01,32.8,20.0,205.0,4.7,31.1,27.2,25.1,27.5,,45331.0,1301.0
1999-11-01,39.0,19.0,241.5,4.7,31.3,27.3,25.1,27.2,,44366.0,1298.0
1999-12-01,76.9,17.0,340.5,4.1,30.6,26.8,24.8,27.4,,43181.0,1342.0
2000-01-01,127.6,14.0,275.2,4.0,29.8,26.3,24.6,26.6,,44715.0,1401.0
2000-02-01,39.9,18.0,237.8,5.8,31.0,26.6,24.8,27.7,,44521.0,1277.0
2000-03-01,37.9,15.0,238.3,5.8,31.9,27.2,25.3,27.6,,45363.0,1352.0
2000-04-01,87.4,20.0,311.6,5.3,31.9,27.5,25.6,28.2,,46513.0,1357.0
2000-05-01,36.7,10.0,96.8,6.8,32.7,28.6,26.2,28.4,,48000.0,1405.0
2000-06-01,41.7,16.0,157.5,4.6,31.1,27.6,25.5,27.8,,41781.0,1221.0
2000-07-01,34.6,12.0,116.1,6.5,31.6,28.1,25.7,27.6,,43814.0,1336.0
2000-08-01,28.1,18.0,113.5,5.1,30.7,27.5,25.4,27.4,,44801.0,1267.0
2000-09-01,25.7,12.0,81.1,6.2,32.1,28.0,25.6,28.0,,43695.0,1242.0
2000-10-01,38.3,14.0,120.9,4.0,31.8,27.8,25.3,28.0,,46396.0,1256.0
2000-11-01,72.0,21.0,385.7,3.7,31.3,27.3,25.6,28.0,,42472.0,1274.0
2000-12-01,45.8,18.0,236.0,4.2,31.0,27.0,25.3,28.2,,45271.0,1305.0
2001-01-01,125.4,21.0,425.8,4.4,30.3,26.5,24.9,27.5,,50420.0,1384.0
2001-02-01,28.2,11.0,86.6,4.8,30.9,27.0,24.8,27.1,,44519.0,1206.0
2001-03-01,41.1,20.0,297.3,5.4,31.8,27.5,25.4,28.0,,47554.0,1330.0
2001-04-01,68.9,18.0,203.3,5.3,31.8,27.7,25.9,28.2,,47466.0,1220.0
2001-05-01,56.1,12.0,164.9,6.0,32.2,28.5,26.5,28.4,,48650.0,1361.0
2001-06-01,49.6,11.0,137.1,4.9,31.4,28.2,25.8,28.1,,44715.0,1245.0
2001-07-01,44.8,9.0,111.3,8.1,32.2,28.4,25.8,27.8,,46843.0,1322.0
2001-08-01,36.6,14.0,158.3,4.9,31.1,28.0,25.8,28.6,,47342.0,1257.0
2001-09-01,74.3,13.0,162.0,6.2,31.6,28.0,25.6,27.5,,45621.0,1257.0
2001-10-01,77.2,20.0,252.2,4.4,31.4,27.6,25.4,27.5,,48251.0,1218.0
2001-11-01,102.6,15.0,175.3,3.7,30.8,27.2,25.2,27.5,,47447.0,1241.0
2001-12-01,211.1,20.0,609.0,4.5,30.7,26.7,24.9,27.4,,46547.0,1326.0
2002-01-01,83.8,11.0,221.2,6.9,30.9,27.0,24.8,26.7,,49254.0,1382.0
2002-02-01,41.7,2.0,50.8,7.4,31.3,27.3,24.7,27.1,,46036.0,1254.0
2002-03-01,26.4,8.0,55.6,7.6,33.0,28.2,25.5,28.2,,51276.0,1427.0
2002-04-01,39.4,13.0,116.5,6.6,33.0,28.6,26.1,28.2,,51593.0,1277.0
2002-05-01,75.9,13.0,236.6,6.2,32.6,28.9,26.4,28.9,,55291.0,1494.0
2002-06-01,45.8,12.0,83.1,6.3,32.1,28.7,26.2,28.0,,47984.0,1326.0
2002-07-01,69.5,11.0,233.7,6.8,31.9,28.4,26.1,28.1,,50799.0,1276.0
2002-08-01,17.8,14.0,54.2,6.7,31.9,28.5,25.6,28.0,,50386.0,1313.0
2002-09-01,38.9,9.0,124.2,5.5,31.7,28.1,25.5,27.5,,47799.0,1229.0
2002-10-01,3.2,7.0,10.8,6.2,33.0,28.7,25.8,27.6,,49004.0,1301.0
2002-11-01,84.0,15.0,307.2,4.6,31.7,27.4,25.5,27.8,,46768.0,1180.0
2002-12-01,38.6,24.0,255.0,4.8,31.3,27.2,25.7,28.0,,50796.0,1361.0
2003-01-01,194.4,20.0,444.2,4.7,30.1,26.7,24.9,27.3,,56276.0,1498.0
2003-02-01,82.2,13.0,172.9,5.8,30.8,27.1,25.1,27.1,,50675.0,1246.0
2003-03-01,38.3,11.0,154.6,6.9,32.3,28.1,25.8,28.0,,53284.0,1340.0
2003-04-01,42.9,20.0,159.9,5.1,32.1,27.9,26.1,28.4,,36241.0,1343.0
2003-05-01,33.0,11.0,81.8,5.8,32.7,29.2,26.6,28.9,,40638.0,1544.0
2003-06-01,23.2,12.0,50.3,7.0,32.7,28.9,25.9,28.0,,39893.0,1388.0
2003-07-01,30.9,14.0,170.4,5.6,31.5,28.1,25.6,28.1,,42212.0,1302.0
2003-08-01,64.4,13.0,193.6,6.1,31.8,28.2,25.9,28.3,,43351.0,1222.0
2003-09-01,60.0,15.0,205.3,5.0,31.2,27.6,25.6,27.8,,45559.0,1208.0
2003-10-01,56.6,21.0,351.4,5.1,31.1,27.6,25.5,27.9,,49134.0,1313.0
2003-11-01,41.3,19.0,133.8,4.2,31.0,27.1,25.4,28.1,,47141.0,1263.0
2003-12-01,92.1,17.0,273.0,3.9,29.9,26.5,24.9,27.1,,47829.0,1369.0
2004-01-01,177.8,13.0,600.9,6.7,30.6,26.9,25.1,27.3,,48268.0,1357.0
2004-02-01,19.2,4.0,31.9,7.7,32.0,27.6,25.0,27.5,,47814.0,1250.0
2004-03-01,122.8,16.0,269.4,4.8,32.2,27.7,25.7,28.0,,49482.0,1283.0
2004-04-01,18.1,9.0,57.1,7.0,33.3,28.9,26.4,28.5,,48694.0,1428.0
2004-05-01,73.4,13.0,137.6,6.0,32.8,28.9,26.4,28.6,,52477.0,1464.0
2004-06-01,68.1,8.0,127.2,6.3,32.4,29.0,26.2,28.3,,51036.0,1362.0
2004-07-01,34.3,20.0,166.6,4.2,30.8,27.3,25.4,27.3,,53535.0,1321.0
2004-08-01,111.5,8.0,185.2,7.3,31.7,28.3,25.5,27.9,,54698.0,1250.0
2004-09-01,29.1,14.0,128.9,5.9,31.7,27.8,25.6,27.5,,51037.0,1194.0
2004-10-01,25.3,13.0,125.6,5.0,31.6,27.8,25.6,27.8,,54424.0,1345.0
2004-11-01,62.4,15.0,166.2,5.8,31.4,27.3,25.4,27.7,,52621.0,1256.0
2004-12-01,36.4,14.0,139.8,4.9,30.1,26.8,24.9,27.2,,54404.0,1350.0
2005-01-01,96.7,8.0,163.2,6.5,30.2,26.6,24.4,26.5,,55854.0,1416.0
2005-02-01,7.2,3.0,8.4,9.1,33.4,28.5,25.3,28.0,,50234.0,1249.0
